,LACCESS_POP10,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15
20027,2243.21916315377,0.7766604802397522,26.282591249604803,26.486717749023438,826.942242890064,9.68883705788007,7.517500566804534,46.4913862155573,55.2720690748544,18.886687565273853,1.306304754581548,1.5530224522296825,28.2628253892495,0.7941226577479489,558.431211121098,6.542837857306362,6.607723936684043,378.767591150363,4.437815947865999,4.474474905520059,2187.25121836502,25.626844972056475,7.39014038955793,0.08658629630413509,46.9999999376014,0.550673695812553,9.00000006472692,0.10544815541566398,9.00000005355105,0.10544815528472232,0.0,0.0,48.0000001067529,0.5623901594229983
20029,3219.98720421413,0.006699462822327064,33.77727057814046,33.77953347382524,1185.15183035463,12.432097244882303,12.194322698174865,58.6955558727209,72.5463415788423,23.597673623121153,1.5011651118342941,1.8554051554691124,93.2202955387438,2.384150781042041,741.402180240179,7.7772178772703136,7.777972175831889,709.238709909579,7.439827020975338,7.43982702097535,3145.37078437015,32.99455349176702,5.67683346709237,0.05954928634314875,59.2078814153792,0.6210834093714381,5.44930774462409,0.057162569439044256,8.15463878959417,0.08554116007127001,0.0,0.0,55.5513616095704,0.5827269653788986
20031,4619.72013407883,-27.672091130291953,53.71143046249075,38.84835447752692,1437.97066108273,16.71864505386269,10.59362839577906,73.0822597745524,81.8129825486058,11.94643241873794,2.089855870018656,2.3395190891794626,105.91635042263,3.028777535677152,1136.72950038419,13.216248115151611,9.35813873087727,786.034525513159,9.138873683445633,6.852005758007161,3242.14513992094,37.69497895501616,8.39255398884416,0.0975764909759814,58.8227424708211,0.6839058536312184,12.9520174555655,0.15058734397820603,18.6671916632627,0.2170351315342716,0.0,0.0,59.190067217507,0.6881765750204278
20033,336.988720837292,0.0,17.82066212783141,17.82066212783141,125.848610905163,6.655135425973717,3.2477710109882074,17.1385706360294,4.84639234743055,-71.722307242809,2.0799236208773544,0.5881544110959406,10.7729696647374,1.3073992311574514,72.2851928987515,3.8225908460471447,3.8225908460471447,78.4850662714972,4.150453002194459,4.150453002194463,324.638207245026,17.167541366738554,4.99999979071436,0.26441035381884503,9.13649653923312,0.4831568767442157,0.030555848730728,0.0016158566224604971,0.0,0.0,0.0,0.0,7.3199580609853,0.3870945563715124
20035,5905.56422196851,93.38834139119112,16.263843523914268,31.452377237356448,2050.95339786583,5.648297755131586,13.69155087878461,174.288627888147,317.020320646826,81.8938644983078,1.2502771010627476,2.2741773360604447,549.02731277924,3.9385029611136297,1376.63735073319,3.7912405351909615,7.548584101005261,966.925920212052,2.662900829533893,5.00805794165644,10031.1861768604,27.625750259867253,346.143711073149,0.9532750711166011,782.457832170315,2.1548782246986176,213.884737521119,0.5890356572970147,196.777673080062,0.5419230345627,2.9999999855645,0.00826195914616645,629.680383641391,1.7341312099402137
20037,11857.9740958404,-2.219450248412339,30.300950824961415,29.62843629660551,5557.84897504314,14.20209785619446,14.366278028799917,596.605571034126,470.211104096811,-21.185599510616232,3.793029251917643,2.989453265285848,664.553038706834,4.2250177297147555,2815.47625166072,7.194450482089028,6.979452502386339,1486.66775849448,3.798915926034855,3.7394554816569228,10478.4780714048,26.77589326775898,249.687346638646,0.6380317540722799,678.314983805396,1.7333137011432413,75.1248099099612,0.19196813489538816,98.7163598254556,0.2522521588016957,23.0738762319088,0.058961200572159256,669.711792561167,1.7113297709438522
20039,499.839556163387,65.09705855951223,16.880768529665215,27.86965230471709,229.434549751168,7.748549468124552,10.565339507825666,1.56397644838972,23.6938405237504,1414.9742534899246,0.11349611381638028,1.719436903029782,39.145111728303,2.8407192836214077,100.808698790872,3.4045490979693347,4.725285772058325,89.3038895841664,3.016004376364958,6.6714272451064165,808.681196789117,27.311083984772612,2.93304449958196,0.09905587637899223,9.66522246019122,0.3264175096315846,0.208762950263917,0.007050420474971867,0.999999970197678,0.03377237319141094,0.0,0.0,12.3974004138374,0.41868964585739277
20041,3652.90288278022,-56.43405939615178,18.491965590666297,8.05619874571373,1085.62191995713,5.495706793343779,3.0556018220043333,99.9231659974723,96.6154377283298,-3.310271683371377,1.2377451504703616,1.1967724232420387,57.2166595650874,0.70874098309287,916.968001161057,4.641935816346345,1.9581731295870861,553.128503452708,2.800083544865384,1.1082508677882252,1494.70759257073,7.566607231804849,2.47451336239465,0.012526644539812948,70.956281779906,0.35919956353096083,1.14932147810759,0.0058181708925158955,8.5893250182271,0.04348144688785613,3.99999986588955,0.020249062801911258,80.5007474006511,0.4075161860921889
20043,4873.64662637996,0.26842666254788977,61.342311219382765,61.50697033811869,1686.6805036406,21.229458824928884,19.805293490753304,171.016571619393,180.552431699474,5.575985993511545,5.453334554189828,5.757411725110778,172.938956688272,5.5146350984780605,1034.15528439529,13.016429004346003,13.062080948101574,775.984317584653,9.766951763180025,9.801619489517483,4494.02184024804,56.56415154497218,179.121742184507,2.254521613398452,99.3233020661046,1.2501359605551239,9.39113295809693,0.11820179934672033,68.6333213357884,0.8638555234208735,0.0,0.0,135.560756237639,1.7062398519526618
20045,14766.1166136444,2.409839362102767,13.323693549929077,13.644773161581217,4591.72715920685,4.143185858198302,4.46948372627508,357.980960527247,446.422131897641,24.705551725470176,0.8215094559556798,1.024467899526439,493.407889697025,1.1322927521962205,3607.74813840455,3.255326492343448,3.3350808763858297,1275.1967197885,1.1506295632689985,1.203049052428257,12334.1040833934,11.129251333977045,889.836423556146,0.8029130561024904,872.87512537405,0.7876086165467039,443.101627015509,0.3998173957514563,432.481395927025,0.3902345983135952,14.6806160025299,0.013246545036841445,1007.75215343051,0.9093102281328478
